country,capital,area,population
Afghanistan,Kabul,652864,35
Albania,Tirana,28748,2402113
Algeria,Algiers,2381741,47400000
Andorra,Andorra la Vella,467,87486
Angola,Luanda,1246700,36604681
Antigua and Barbuda,St. John's,440,100772
Argentina,Buenos Aires,2780085,46735004
Armenia,Yerevan,29743,3081100
Australia,Canberra,7688287,28201300
Austria,Vienna,83879,9027999
Azerbaijan,Baku,86600,10353296
Bahamas,Nassau,13943,412628
Bahrain,Manama,786,1463265
Bangladesh,Dhaka,148460,171466990
Barbados,Bridgetown,439,281998
Belarus,Minsk,207600,9109280
Belgium,City of Brussels,30689,11825551
Belize,Belmopan,22966,397483
Benin,Porto-Novo,114763,13754688
Bolivia,Sucre,1098581,11365333
